ORG_ID,ORG_NAME,ZCTA,Distance,TravelTime,DANCENYC_Budget_Size,DANCENYC_Discipline,NYC_MARKER,Org_ADDRESS,Org_Zip_Code,Org_City,Org_State,lng,lat,ZCTA_lng,ZCTA_lat
4694,"New Dance Alliance, Inc.",10013,0.50,8,1,Service,Manhattan,"182 Duane Street, 3rd fl.  New York",10013-6605,Manhattan,NY,-74.01012359,40.71707769,-74.00492769,40.72010704
4757,"Dance Notation Bureau, Inc.",10013,1.30,12,2,Service,Manhattan,111 John Street Rm. 704 New York,10038-3123,Manhattan,NY,-74.00558544,40.70775205,-74.00492769,40.72010704
4757,"Dance Notation Bureau, Inc.",10013,1.30,12,2,Service,Manhattan,111 John Street Rm. 704 New York,10038-3123,Manhattan,NY,-74.00558544,40.70775205,-74.00492769,40.72010704
4757,"Dance Notation Bureau, Inc.",10022,5.03,28,2,Service,Manhattan,111 John Street Rm. 704 New York,10038-3123,Manhattan,NY,-74.00558544,40.70775205,-73.96781711,40.75855479
4781,"H.T. Dance Company, Inc./Chen Dance Center",10001,3.23,25,3,Presenting,Manhattan,70 Mulberry Street 2nd Floor New York,10013-4477,Manhattan,NY,-73.99892901,40.71605013,-73.99728082,40.75067198
4781,"H.T. Dance Company, Inc./Chen Dance Center",10011,2.17,20,3,Presenting,Manhattan,70 Mulberry Street 2nd Floor New York,10013-4477,Manhattan,NY,-73.99892901,40.71605013,-74.00059401,40.74200174
4781,"H.T. Dance Company, Inc./Chen Dance Center",10019,4.10,26,3,Presenting,Manhattan,70 Mulberry Street 2nd Floor New York,10013-4477,Manhattan,NY,-73.99892901,40.71605013,-73.98706746,40.76579302
4781,"H.T. Dance Company, Inc./Chen Dance Center",10021,4.60,30,3,Presenting,Manhattan,70 Mulberry Street 2nd Floor New York,10013-4477,Manhattan,NY,-73.99892901,40.71605013,-73.95863011,40.76915863
4781,"H.T. Dance Company, Inc./Chen Dance Center",10022,3.67,24,3,Presenting,Manhattan,70 Mulberry Street 2nd Floor New York,10013-4477,Manhattan,NY,-73.99892901,40.71605013,-73.96781711,40.75855479
4781,"H.T. Dance Company, Inc./Chen Dance Center",10036,3.79,24,3,Presenting,Manhattan,70 Mulberry Street 2nd Floor New York,10013-4477,Manhattan,NY,-73.99892901,40.71605013,-73.98990943,40.75928044
4781,"H.T. Dance Company, Inc./Chen Dance Center",10038,0.62,12,3,Presenting,Manhattan,70 Mulberry Street 2nd Floor New York,10013-4477,Manhattan,NY,-73.99892901,40.71605013,-74.00253236,40.70932035
4781,"H.T. Dance Company, Inc./Chen Dance Center",11354,13.30,65,3,Presenting,Manhattan,70 Mulberry Street 2nd Floor New York,10013-4477,Manhattan,NY,-73.99892901,40.71605013,-73.82707207,40.76865622
4781,"H.T. Dance Company, Inc./Chen Dance Center",11372,9.69,48,3,Presenting,Manhattan,70 Mulberry Street 2nd Floor New York,10013-4477,Manhattan,NY,-73.99892901,40.71605013,-73.88363804,40.75168973
4834,"Trisha Brown Company, Inc.",10461,13.17,66,4,Dance Maker,Manhattan,341 West 38th Street Suite 801 New York,10018-2918,Manhattan,NY,-73.9933855,40.75570469,-73.84055358,40.84743449
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",10011,1.68,8,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.98805013,40.7568124,-74.00059401,40.74200174
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",10024,3.17,14,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.98805013,40.7568124,-73.97485393,40.79219651
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",10024,3.17,14,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.98805013,40.7568124,-73.97485393,40.79219651
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",10024,3.17,14,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.98805013,40.7568124,-73.97485393,40.79219651
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",10036,0.25,5,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.98805013,40.7568124,-73.98990943,40.75928044
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",10036,0.25,5,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.98805013,40.7568124,-73.98990943,40.75928044
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",10075,3.23,22,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.98805013,40.7568124,-73.95620808,40.77335653
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",10458,10.50,49,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.98805013,40.7568124,-73.88814536,40.86254526
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",11103,5.90,36,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.98805013,40.7568124,-73.91344728,40.76257411
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",11105,6.40,39,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.98805013,40.7568124,-73.90676854,40.77887656
4862,"Threshold Dance Projects, Inc. (dba Buglisi Dance Theatre)",11215,8.82,45,2,Dance Maker,Manhattan,"229 West 42nd Street, Suite 502  New York",10036-7205,Manhattan,NY,-73.98805013,40.7568124,-73.98682734,40.66239508
4901,Opus Dance Theatre & Community Services Inc.,10035,1.68,25,2,Educational,Manhattan,1486 5th Avenue Suite 2S New York,10035-2703,Manhattan,NY,-73.94495267,40.80288941,-73.92973093,40.79565225
4941,Battery Dance Corporation,10017,3.17,22,3,Dance Maker,Manhattan,380 Broadway 5th Fl New York,10013-6027,Manhattan,NY,-74.003648,40.720024,-73.97241689,40.75234677
4945,"Ice Theatre of New York, Inc.",10011,0.06,1,3,Dance Maker,Manhattan,62 Chelsea Piers Suite  308 New York,10011-0066,Manhattan,NY,-73.999332,40.74179,-74.00059401,40.74200174
4945,"Ice Theatre of New York, Inc.",10019,2.42,18,3,Dance Maker,Manhattan,62 Chelsea Piers Suite  308 New York,10011-0066,Manhattan,NY,-73.999332,40.74179,-73.98706746,40.76579302
4945,"Ice Theatre of New York, Inc.",10030,6.77,34,3,Dance Maker,Manhattan,62 Chelsea Piers Suite  308 New York,10011-0066,Manhattan,NY,-73.999332,40.74179,-73.94285637,40.81826656
4945,"Ice Theatre of New York, Inc.",10075,4.78,29,3,Dance Maker,Manhattan,62 Chelsea Piers Suite  308 New York,10011-0066,Manhattan,NY,-73.999332,40.74179,-73.95620808,40.77335653
4945,"Ice Theatre of New York, Inc.",11375,10.87,41,3,Dance Maker,Manhattan,62 Chelsea Piers Suite  308 New York,10011-0066,Manhattan,NY,-73.999332,40.74179,-73.84615107,40.72093404
4960,Paul Taylor Dance Foundation,10002,0.31,6,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.98073069,40.71411168,-73.98625797,40.71576191
4960,Paul Taylor Dance Foundation,10002,0.31,6,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.98073069,40.71411168,-73.98625797,40.71576191
4960,Paul Taylor Dance Foundation,10002,0.31,6,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.98073069,40.71411168,-73.98625797,40.71576191
4960,Paul Taylor Dance Foundation,10010,2.49,35,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.98073069,40.71411168,-73.98223161,40.73904486
4960,Paul Taylor Dance Foundation,10011,3.36,28,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.98073069,40.71411168,-74.00059401,40.74200174
4960,Paul Taylor Dance Foundation,10011,3.36,28,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.98073069,40.71411168,-74.00059401,40.74200174
4960,Paul Taylor Dance Foundation,10025,7.95,47,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.98073069,40.71411168,-73.96662265,40.79860089
4960,Paul Taylor Dance Foundation,10040,12.18,61,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.98073069,40.71411168,-73.93051964,40.85829762
4960,Paul Taylor Dance Foundation,10044,6.71,42,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.98073069,40.71411168,-73.94993304,40.7620505
4960,Paul Taylor Dance Foundation,11415,11.31,64,5,Dance Maker,Manhattan,551 Grand Street  New York,10002-4282,Manhattan,NY,-73.98073069,40.71411168,-73.82821164,40.70791699
4979,"Dancewave, Inc.",10029,8.89,47,3,Educational,Brooklyn,45 Fourth Avenue  New York,11217-1903,Brooklyn,NY,-73.97892607,40.68289101,-73.94387569,40.79169813
4979,"Dancewave, Inc.",11213,3.48,20,3,Educational,Brooklyn,45 Fourth Avenue  New York,11217-1903,Brooklyn,NY,-73.97892607,40.68289101,-73.93633572,40.67107757
4979,"Dancewave, Inc.",11213,3.48,20,3,Educational,Brooklyn,45 Fourth Avenue  New York,11217-1903,Brooklyn,NY,-73.97892607,40.68289101,-73.93633572,40.67107757
4979,"Dancewave, Inc.",11216,1.99,14,3,Educational,Brooklyn,45 Fourth Avenue  New York,11217-1903,Brooklyn,NY,-73.97892607,40.68289101,-73.94931646,40.68076751
4979,"Dancewave, Inc.",11216,1.99,14,3,Educational,Brooklyn,45 Fourth Avenue  New York,11217-1903,Brooklyn,NY,-73.97892607,40.68289101,-73.94931646,40.68076751
4979,"Dancewave, Inc.",11216,1.99,14,3,Educational,Brooklyn,45 Fourth Avenue  New York,11217-1903,Brooklyn,NY,-73.97892607,40.68289101,-73.94931646,40.68076751
4979,"Dancewave, Inc.",11217,0.06,1,3,Educational,Brooklyn,45 Fourth Avenue  New York,11217-1903,Brooklyn,NY,-73.97892607,40.68289101,-73.97934481,40.68242095
4979,"Dancewave, Inc.",11217,0.06,1,3,Educational,Brooklyn,45 Fourth Avenue  New York,11217-1903,Brooklyn,NY,-73.97892607,40.68289101,-73.97934481,40.68242095
4979,"Dancewave, Inc.",11221,3.04,33,3,Educational,Brooklyn,45 Fourth Avenue  New York,11217-1903,Brooklyn,NY,-73.97892607,40.68289101,-73.9278789,40.69134011
4979,"Dancewave, Inc.",11235,7.71,34,3,Educational,Brooklyn,45 Fourth Avenue  New York,11217-1903,Brooklyn,NY,-73.97892607,40.68289101,-73.94965788,40.58390522
4988,"Alvin Ailey Dance Foundation, Inc.",10019,0.12,3,5,Dance Maker,Manhattan,Alvin Ailey Dance Foundation Inc. 405 West 55th Street New York,10019-4402,Manhattan,NY,-73.987442,40.764248,-73.98706746,40.76579302
4988,"Alvin Ailey Dance Foundation, Inc.",10019,0.12,3,5,Dance Maker,Manhattan,Alvin Ailey Dance Foundation Inc. 405 West 55th Street New York,10019-4402,Manhattan,NY,-73.987442,40.764248,-73.98706746,40.76579302
4988,"Alvin Ailey Dance Foundation, Inc.",10024,2.98,22,5,Dance Maker,Manhattan,Alvin Ailey Dance Foundation Inc. 405 West 55th Street New York,10019-4402,Manhattan,NY,-73.987442,40.764248,-73.97485393,40.79219651
4988,"Alvin Ailey Dance Foundation, Inc.",10026,3.85,24,5,Dance Maker,Manhattan,Alvin Ailey Dance Foundation Inc. 405 West 55th Street New York,10019-4402,Manhattan,NY,-73.987442,40.764248,-73.95268139,40.80238049
4988,"Alvin Ailey Dance Foundation, Inc.",11102,4.66,39,5,Dance Maker,Manhattan,Alvin Ailey Dance Foundation Inc. 405 West 55th Street New York,10019-4402,Manhattan,NY,-73.987442,40.764248,-73.92593714,40.77263531
4988,"Alvin Ailey Dance Foundation, Inc.",11216,8.45,35,5,Dance Maker,Manhattan,Alvin Ailey Dance Foundation Inc. 405 West 55th Street New York,10019-4402,Manhattan,NY,-73.987442,40.764248,-73.94931646,40.68076751
4988,"Alvin Ailey Dance Foundation, Inc.",11225,8.76,50,5,Dance Maker,Manhattan,Alvin Ailey Dance Foundation Inc. 405 West 55th Street New York,10019-4402,Manhattan,NY,-73.987442,40.764248,-73.95421921,40.66304587
5002,"Spanish Dance Arts Company, Inc.",10036,0.81,14,3,Dance Maker,Manhattan,"4 West 43rd Street, Suite 608  New York",10036-7408,Manhattan,NY,-73.98130368,40.75428987,-73.98990943,40.75928044
5002,"Spanish Dance Arts Company, Inc.",10036,0.81,14,3,Dance Maker,Manhattan,"4 West 43rd Street, Suite 608  New York",10036-7408,Manhattan,NY,-73.98130368,40.75428987,-73.98990943,40.75928044
5048,"Lotus Fine Art Productions, Inc.",10024,3.36,17,2,Presenting,Manhattan,262 W. 38th St Suite 1006 New York,10018-4688,Manhattan,NY,-73.99107625,40.75423188,-73.97485393,40.79219651
5048,"Lotus Fine Art Productions, Inc.",10451,7.27,39,2,Presenting,Manhattan,262 W. 38th St Suite 1006 New York,10018-4688,Manhattan,NY,-73.99107625,40.75423188,-73.92368939,40.82077582
5048,"Lotus Fine Art Productions, Inc.",10458,10.25,48,2,Presenting,Manhattan,262 W. 38th St Suite 1006 New York,10018-4688,Manhattan,NY,-73.99107625,40.75423188,-73.88814536,40.86254526
5048,"Lotus Fine Art Productions, Inc.",11226,9.20,49,2,Presenting,Manhattan,262 W. 38th St Suite 1006 New York,10018-4688,Manhattan,NY,-73.99107625,40.75423188,-73.95664878,40.64644801
5115,"Spoke the Hub Dancing, Inc.",11215,1.30,17,2,Educational,Brooklyn,748 Union Street  Brooklyn,11215-1209,Brooklyn,NY,-73.97837016,40.67532265,-73.98682734,40.66239508
5131,Dancing in the Streets,10023,5.47,25,2,Presenting,Bronx,"555 Bergen Avenue, 3rd Floor  Bronx",10455-1368,Bronx,NY,-73.91645716,40.81599069,-73.98260661,40.7759212
5131,Dancing in the Streets,10027,2.55,21,2,Presenting,Bronx,"555 Bergen Avenue, 3rd Floor  Bronx",10455-1368,Bronx,NY,-73.91645716,40.81599069,-73.95322362,40.81181896
5131,Dancing in the Streets,11102,5.53,39,2,Presenting,Bronx,"555 Bergen Avenue, 3rd Floor  Bronx",10455-1368,Bronx,NY,-73.91645716,40.81599069,-73.92593714,40.77263531
5131,Dancing in the Streets,11215,15.60,77,2,Presenting,Bronx,"555 Bergen Avenue, 3rd Floor  Bronx",10455-1368,Bronx,NY,-73.91645716,40.81599069,-73.98682734,40.66239508
5155,"DOVA, Inc.",10014,1.24,15,3,Dance Maker,Manhattan,260 West Broadway Suite 4 New York,10013-2260,Manhattan,NY,-74.003648,40.720024,-74.00703305,40.73369768
5155,"DOVA, Inc.",10021,4.60,30,3,Dance Maker,Manhattan,260 West Broadway Suite 4 New York,10013-2260,Manhattan,NY,-74.003648,40.720024,-73.95863011,40.76915863
5155,"DOVA, Inc.",10027,7.21,27,3,Dance Maker,Manhattan,260 West Broadway Suite 4 New York,10013-2260,Manhattan,NY,-74.003648,40.720024,-73.95322362,40.81181896
5155,"DOVA, Inc.",11217,3.04,18,3,Dance Maker,Manhattan,260 West Broadway Suite 4 New York,10013-2260,Manhattan,NY,-74.003648,40.720024,-73.97934481,40.68242095
5155,"DOVA, Inc.",11225,5.41,33,3,Dance Maker,Manhattan,260 West Broadway Suite 4 New York,10013-2260,Manhattan,NY,-74.003648,40.720024,-73.95421921,40.66304587
5291,Sachiyo Ito and Company,10022,2.73,20,1,Dance Maker,Manhattan,405 West 23rd Street suite 4G New York,10011-1400,Manhattan,NY,-74.0014202,40.74662943,-73.96781711,40.75855479
5372,"Art Sweats, Inc.",11206,3.98,29,2,Dance Maker,Manhattan,"140 Second Avenue, #503  New York",10003-8384,Manhattan,NY,-73.98701883,40.7288292,-73.94235774,40.70195384
5372,"Art Sweats, Inc.",11225,7.64,43,2,Dance Maker,Manhattan,"140 Second Avenue, #503  New York",10003-8384,Manhattan,NY,-73.98701883,40.7288292,-73.95421921,40.66304587
5687,"Joyce Theater Foundation, Inc.",10001,1.55,14,5,Presenting,Manhattan,175 Eighth Avenue  New York,10011-1694,Manhattan,NY,-74.00036194,40.74287267,-73.99728082,40.75067198
5687,"Joyce Theater Foundation, Inc.",10017,3.54,26,5,Presenting,Manhattan,175 Eighth Avenue  New York,10011-1694,Manhattan,NY,-74.00036194,40.74287267,-73.97241689,40.75234677
5687,"Joyce Theater Foundation, Inc.",10035,7.46,58,5,Presenting,Manhattan,175 Eighth Avenue  New York,10011-1694,Manhattan,NY,-74.00036194,40.74287267,-73.92973093,40.79565225
5687,"Joyce Theater Foundation, Inc.",11205,5.41,41,5,Presenting,Manhattan,175 Eighth Avenue  New York,10011-1694,Manhattan,NY,-74.00036194,40.74287267,-73.96628636,40.69469606
5689,"Young Dancers in Repertory, Inc.",11204,2.98,16,3,Educational,Brooklyn,P.O. Box 205037 Sunset Station Brooklyn,11220-7037,Brooklyn,NY,-74.015564,40.642875,-73.98482624,40.61877919
5782,"Lubovitch Dance Foundation, Inc.",10011,1.68,8,3,Dance Maker,Manhattan,229 West 42nd Street Eighth Floor New York,10036-7205,Manhattan,NY,-73.98805013,40.7568124,-74.00059401,40.74200174
5782,"Lubovitch Dance Foundation, Inc.",10014,2.11,15,3,Dance Maker,Manhattan,229 West 42nd Street Eighth Floor New York,10036-7205,Manhattan,NY,-73.98805013,40.7568124,-74.00703305,40.73369768
5782,"Lubovitch Dance Foundation, Inc.",10022,1.74,13,3,Dance Maker,Manhattan,229 West 42nd Street Eighth Floor New York,10036-7205,Manhattan,NY,-73.98805013,40.7568124,-73.96781711,40.75855479
5782,"Lubovitch Dance Foundation, Inc.",10032,6.84,27,3,Dance Maker,Manhattan,229 West 42nd Street Eighth Floor New York,10036-7205,Manhattan,NY,-73.98805013,40.7568124,-73.94284615,40.83882441
5782,"Lubovitch Dance Foundation, Inc.",10040,8.14,31,3,Dance Maker,Manhattan,229 West 42nd Street Eighth Floor New York,10036-7205,Manhattan,NY,-73.98805013,40.7568124,-73.93051964,40.85829762
5782,"Lubovitch Dance Foundation, Inc.",11216,7.52,29,3,Dance Maker,Manhattan,229 West 42nd Street Eighth Floor New York,10036-7205,Manhattan,NY,-73.98805013,40.7568124,-73.94931646,40.68076751
5782,"Lubovitch Dance Foundation, Inc.",11222,5.28,33,3,Dance Maker,Manhattan,229 West 42nd Street Eighth Floor New York,10036-7205,Manhattan,NY,-73.98805013,40.7568124,-73.94774403,40.72823579
5782,"Lubovitch Dance Foundation, Inc.",11226,9.13,47,3,Dance Maker,Manhattan,229 West 42nd Street Eighth Floor New York,10036-7205,Manhattan,NY,-73.98805013,40.7568124,-73.95664878,40.64644801
5782,"Lubovitch Dance Foundation, Inc.",11366,12.49,62,3,Dance Maker,Manhattan,229 West 42nd Street Eighth Floor New York,10036-7205,Manhattan,NY,-73.98805013,40.7568124,-73.78501868,40.72815221
5782,"Lubovitch Dance Foundation, Inc.",11366,12.49,62,3,Dance Maker,Manhattan,229 West 42nd Street Eighth Floor New York,10036-7205,Manhattan,NY,-73.98805013,40.7568124,-73.78501868,40.72815221
5873,"The Dance Ring, Inc.",11217,4.23,25,4,Dance Maker,Manhattan,131 East 10 Street 2nd Floor New York,10003-7504,Manhattan,NY,-73.98754145,40.73018199,-73.97934481,40.68242095
5878,Renegade Performance Group,11225,0.75,9,1,Dance Maker,Brooklyn,"1289 Union Street, 6D  Brooklyn",11225-1667,Brooklyn,NY,-73.94949824,40.6689842,-73.95421921,40.66304587
5878,Renegade Performance Group,11225,0.75,9,1,Dance Maker,Brooklyn,"1289 Union Street, 6D  Brooklyn",11225-1667,Brooklyn,NY,-73.94949824,40.6689842,-73.95421921,40.66304587
5983,"Gina Gibney Dance, Inc.",10014,1.18,14,4,Presenting,Manhattan,890 Broadway 5th Floor New York,10003-1211,Manhattan,NY,-73.989477,40.732373,-74.00703305,40.73369768
5983,"Gina Gibney Dance, Inc.",10023,3.60,26,4,Presenting,Manhattan,890 Broadway 5th Floor New York,10003-1211,Manhattan,NY,-73.989477,40.732373,-73.98260661,40.7759212
5983,"Gina Gibney Dance, Inc.",10028,4.23,21,4,Presenting,Manhattan,890 Broadway 5th Floor New York,10003-1211,Manhattan,NY,-73.989477,40.732373,-73.95349321,40.77642648
5983,"Gina Gibney Dance, Inc.",10031,9.32,40,4,Presenting,Manhattan,890 Broadway 5th Floor New York,10003-1211,Manhattan,NY,-73.989477,40.732373,-73.95005622,40.82529412
5983,"Gina Gibney Dance, Inc.",10031,7.21,38,4,Presenting,Manhattan,890 Broadway 5th Floor New York,10003-1211,Manhattan,NY,-73.989477,40.732373,-73.95005622,40.82529412
5983,"Gina Gibney Dance, Inc.",10035,6.77,39,4,Presenting,Manhattan,890 Broadway 5th Floor New York,10003-1211,Manhattan,NY,-73.989477,40.732373,-73.92973093,40.79565225
5983,"Gina Gibney Dance, Inc.",10039,8.33,33,4,Presenting,Manhattan,890 Broadway 5th Floor New York,10003-1211,Manhattan,NY,-73.989477,40.732373,-73.93606859,40.83085576
